Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
Tenchu 2: Birth of the Stealth Assasins,PlayStation,2000,Activision,Acquire,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja rota,"1,50 €",Ebay,20/may/2016,"75,00 €","75,00 €",10/04/2025,Sin Jugar,
Tenchu: Stealth Assasins,PlayStation,1998,Activision,Acquire,España,,,,Incompleto,FALSE,TRUE,TRUE,,N/A,,,,Caja no original. Portada recortada,"19,00 €",Ebay,21/abr/2018,"70,00 €","70,00 €",10/04/2025,Probado,
The Legend of Dragoon,PlayStation,2001,Sony Computer Entertainment,SIE Japan Studio,España,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,"Carátula no original, caja original con pestañas de CD rotas","79,95 €",Ebay,22/nov/2016,"110,00 €","110,00 €",10/04/2025,Jugado,
Tomb Raider: The Last Revelation,PlayStation,1999,Eidos Interactive,Core Design,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,Línea de rotura importante en caja. Manual doblado y desgastado. Pegatina de videoclub en cd,"1,00 €",Ebay,20/may/2016,"15,00 €","15,00 €",10/04/2025,Sin Jugar,
V-Tetris,Virtual Boy,1995,Bullet Proof Software,Bullet Proof Software,Japón,,,,Nuevo,TRUE,TRUE,TRUE,,,,,,Artículo nuevo. Comprado por 1500Y,"9,00 €",Surugaya (Shinjuku),nov/2024,"40,00 €","40,00 €",10/04/2025,Sin Jugar,
Baku Bomberman,Nintendo 64,1997,Hudson Soft,Hudson Soft,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"24,00 €",Surugaya (Osaka),oct/2024,"35,00 €","35,00 €",10/04/2025,Probado,
Banjo to Kazooie no Daibouken,Nintendo 64,1998,Nintendo,Rare,Japón,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Cartucho muy sucio. Comprado por 3364Y,"20,00 €",Trader (Akihabara),oct/2023,"25,00 €","25,00 €",10/04/2025,Probado,
Choro-Q 64,Nintendo 64,1998,Takara,Locomotive,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"18,00 €",Surugaya (Osaka),oct/2024,"35,00 €","35,00 €",10/04/2025,Probado,
Choro-Q 64 2: Hachamecha Grand Prix Race,Nintendo 64,1999,Takara,Locomotive,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Sin tarjeta de registro. Esquinas de la caja dañadas,"20,00 €",Surugaya (Osaka),oct/2024,"40,00 €","40,00 €",10/04/2025,Probado,
Donkey Kong 64,Nintendo 64,1999,Nintendo,Rare,Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,"Cartucho sucio. Falta tarjeta de registro. Caja pequeña, no pack. 1480Y","28,00 €",Ojamakan (Sakai),oct/2024,"40,00 €","40,00 €",10/04/2025,Probado,
Excitebike 64,Nintendo 64,1998,Nintendo,Left Field Productions,Japón,,NUS-P-NMXJ(JPN),,Completo,TRUE,TRUE,TRUE,8,7,9,9,"Registro, controles",Comprado por 1818Y,"10,24 €",Surugaya (Osaka),18/oct/2025,"50,00 €","50,00 €",04/11/2025,Sin Jugar,
F-Zero X,Nintendo 64,1999,Nintendo,Nintendo EAD,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja con bordes blancos. Comprado por 4200Y,"26,00 €",Ojamakan (Sakai),oct/2024,"50,00 €","50,00 €",10/04/2025,Probado,
Hoshi no Kirby 64,Nintendo 64,2000,Nintendo,HAL Laboratory,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja dañada y con una mancha. Comprado por 2380Y,"15,00 €",Trader (Akihabara),oct/2023,"25,00 €","25,00 €",10/04/2025,Jugado,
Jikuu Senshi Turok,Nintendo 64,1997,Acclaim Entertainment,Iguana Entertainment,Japón,,NUS-P-NTUJ(JPN),,Completo,TRUE,TRUE,TRUE,7,7,8,8,"Registro, publi, controles",Comprado por 1727Y,"9,75 €",Surugaya (Osaka),23/oct/2025,"40,00 €","40,00 €",04/11/2025,Sin Jugar,
Mario Golf 64,Nintendo 64,1999,Nintendo,Camelot,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 1455Y,"9,00 €",Trader (Akihabara),oct/2023,"25,00 €","25,00 €",10/04/2025,Sin Jugar,
Mario Kart 64,Nintendo 64,1996,Nintendo,Nintendo EAD,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Daño en la caja y manual con dobleces. Comprado por 1620Y,"10,00 €",Surugaya (Yokohama),oct/2023,"25,00 €","25,00 €",10/04/2025,Sin Jugar,
Mario Party,Nintendo 64,1998,Nintendo,Hudson Soft,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 880Y,"6,00 €",Ojamakan (Sakai),oct/2024,"25,00 €","25,00 €",10/04/2025,Probado,
Mario Party 2,Nintendo 64,1999,Nintendo,Hudson Soft,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Hoja rota en manual.,"6,00 €",Ojamakan (Fushimi Inari),oct/2023,"20,00 €","20,00 €",10/04/2025,Sin Jugar,
Mario Tennis 64,Nintendo 64,2000,Nintendo,Camelot,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 900Y,"5,00 €",Ojamakan (Fushimi Inari),oct/2023,"25,00 €","25,00 €",10/04/2025,Jugado,
Pilotwings 64,Nintendo 64,1996,Nintendo,"Paradigm, Nintendo EAD",Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Cómo nuevo. Comprado por 1188Y,"7,00 €",Ojamakan (Fushimi Inari),oct/2023,"20,00 €","20,00 €",10/04/2025,Sin Jugar,
Pokémon Snap,Nintendo 64,1999,Nintendo,HAL Laboratory,Japón,, NUS-P-NPFJ(JPN),,Completo,TRUE,TRUE,TRUE,7,7,7,9,"Registro, controles","Manual con humedad, caja ligeramente rota por apertura",,Surugaya (Shizuoka),26/oct/2025,"40,00 €","40,00 €",04/11/2025,Sin Jugar,
Pokémon Stadium,Nintendo 64,1998,Nintendo,HAL Laboratory,Japón,Edición GB Pak,,,Completo,TRUE,TRUE,TRUE,,,,,GB Pak,Caja interior aplastada. GB Pak funciona. Comprado por 4280Y,"26,00 €",Trader 2 (Akihabara),nov/2024,"50,00 €","50,00 €",10/04/2025,Probado,
Pokémon Stadium 2,Nintendo 64,1999,Nintendo,HAL Laboratory,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 2727Y,"17,00 €",Japón,oct/2023,"40,00 €","40,00 €",10/04/2025,Sin Jugar,
Pokémon Stadium Kin Gin,Nintendo 64,2000,Nintendo,HAL Laboratory,Japón,,NUS-P-NP3J(JPN),,Nuevo,TRUE,TRUE,TRUE,10,10,10,10,"Registro, controles",Completamente nuevo. Comprado por 3690Y,"20,90 €",Surugaya (Akihabara),30/oct/2025,"55,00 €","55,00 €",04/11/2025,Sin Jugar,
Star Fox 64,Nintendo 64,1997,Nintendo,Nintendo EAD,Japón,Edición Rumble Pak,,,Completo,TRUE,TRUE,TRUE,,,,,Rumble Pak,Caja con bordes blancos. Rumble Pak funciona. Comprado por 3980Y,"25,00 €",Ojamakan (Sakai),oct/2024,"60,00 €","60,00 €",10/04/2025,Probado,
Star Wars Episode I Racer,Nintendo 64,1999,LucasArts,LucasArts,Japón,,NUS-P-NEPJ(JPN),,Completo,TRUE,TRUE,TRUE,6,5,6,8,,Comprado por 3036Y,"17,21 €",Surugaya (Shinjuku),29/oct/2025,"25,00 €","25,00 €",04/11/2025,Sin Jugar,
Super Mario 64,Nintendo 64,1996,Nintendo,Nintendo EAD,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 3480Y,"22,00 €",Ojamakan (Sakai),oct/2024,"50,00 €","50,00 €",05/11/2025,Probado,
Super Mario 64 Shindou Pak Taiou,Nintendo 64,1997,Nintendo,Nintendo EAD,Japón,Reedición con Rumble Pak,NUS-P-NSMJ(JPN),,Completo,TRUE,TRUE,TRUE,6,6,7,6,"Registro, controles",Versión con mejoras y compatible con Rumble Pak. Comprado por 2760Y. Aplastada y restos de pegatina. Pegatina de cartucho con nombre a boli,"15,65 €",Surugaya (Shinjuku),29/oct/2025,"30,00 €","30,00 €",05/11/2025,Sin Jugar,
Super Smash Bros.,Nintendo 64,1999,Nintendo,HAL Laboratory,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Muy buen estado. Comprado por 2380Y,"16,00 €",Ojamakan (Sakai),oct/2024,"35,00 €","35,00 €",10/04/2025,Probado,
Wave Race 64,Nintendo 64,1996,Nintendo,Nintendo EAD,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Comprado por 495Y,"3,00 €",Book Off (Ikebukuro),oct/2023,"5,00 €","5,00 €",10/04/2025,Probado,
Yoshi Story,Nintendo 64,1997,Nintendo,Nintendo EAD,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"2,00 €",Trader (Akihabara),oct/2023,"10,00 €","10,00 €",10/04/2025,Probado,
Zelda no Densetsu - Mujura no Kamen (Ed. Expansion Pak),Nintendo 64,2000,Nintendo,Nintendo EAD,Japón,Edición Expansion Pak,,,Completo,TRUE,TRUE,TRUE,,,,,Expansion Pak,"Roces blancos en caja. Con Expansion Pak, funciona. Comprado por 21600Y","134,00 €",Surugaya Outlet (Osaka),oct/2024,"140,00 €","140,00 €",10/04/2025,Probado,
Zelda no Densetsu - Toki no Okarina,Nintendo 64,1998,Nintendo,Nintendo EAD,Japón,,NUS-P-CZLJ(JPN),,Completo,TRUE,TRUE,TRUE,6,6,8,8,Libro de canciones y pegatinas de notas de ocarina,Comprado por 6100Y. Golpe en lateral de la caja,"34,45 €",Trader (Akihabara),30/oct/2025,"40,00 €","40,00 €",04/11/2025,Sin Jugar,
Dragon Quest Monsters,Game Boy Color,2000,Enix,TOSE,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"1,00 €",Japón,oct/2018,"5,00 €","5,00 €",20/05/2025,Sin Jugar,
Pocket Monsters Crystal Version,Game Boy Color,2000,Nintendo,Game Freak,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 12100Y,"70,00 €",Book Off (Kanamecho),nov/2024,"120,00 €","120,00 €",20/05/2025,Sin Jugar,
Pokémon Card GB,Game Boy Color,1998,Nintendo,Hudson Soft,Japón,,DMG-P-ACXJ(JPN),,Casi completo,TRUE,TRUE,TRUE,8,7,9,9,"Publi, registro",Falta carta promocional de Dragonite. Comprado por 2727Y,"15,45 €",Surugaya (Osaka),22/oct/2025,"35,00 €","35,00 €",04/11/2025,Sin Jugar,
Pokémon de Panepon,Game Boy Color,2000,Nintendo,Intelligent Systems,Japón,,CGB-P-BPNJ-(JPN),,Completo,TRUE,TRUE,TRUE,8,7,8,9,,Comprado por 4090Y. Pequeño dobles en instrucciones,"23,04 €",Surugaya (Osaka),18/oct/2025,"60,00 €","60,00 €",04/11/2025,Sin Jugar,
Pocket Monsters Gin,Game Boy Color,1999,Nintendo,Game Freak,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Bordes blancos en caja. Comprado por 6100Y. Tengo otro cartucho roto,"35,00 €",Surugaya (Shinjuku),nov/2024,"65,00 €","65,00 €",20/05/2025,Sin Jugar,
Pokémon Pinball,Game Boy Color,1999,Nintendo,"Jupiter Corp., HAL Laboratory",Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"25,00 €",Beep (Akihabara),oct/2018,"70,00 €","70,00 €",20/05/2025,Jugado,
Bakumatsu Roman Dai Ni Maku: Gekka no Kenshi - Final Edition,Dreamcast,2000,SNK,SNK,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"24,00 €",Surugaya (Osaka),oct/2024,"65,00 €","65,00 €",10/4/2025,Probado,
Biohazard CODE: Veronica,Dreamcast,2000,Capcom,Capcom Production Studio 4,Japón,Shokai Genteiban (Ed. Limit. Lanzamiento),T-1210M,,Completo,TRUE,TRUE,TRUE,9,8,9,9,"Publicidad, registro",Comprado por 1380Y. Falta moneda conmemorativa,"7,82 €",Surugaya (Shinjuku),29/oct/2025,"30,00 €","30,00 €",04/11/2025,Sin Jugar,
ChuChu Rocket,Dreamcast,1999,SEGA,Sega Software R&D 8 (Sonic Team),Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,50 €",Surugaya (Osaka),oct/2024,"15,00 €","15,00 €",10/4/2025,Probado,
Crazy Taxi,Dreamcast,2000,SEGA,Sega Software R&D 3,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"15,00 €",Surugaya (Shinjuku),nov/2024,"50,00 €","50,00 €",10/4/2025,Probado,
Crazy Taxi 2,Dreamcast,2001,SEGA,Hitmaker,Japón,,HDR-0159,,Completo,TRUE,TRUE,TRUE,8,8,8,9,Registro,Comprado por 1800Y,"10,20 €",Book Off (Ikebukuro),31/oct/2025,"60,00 €","60,00 €",4/11/2025,Sin Jugar,
F355 Challenge,Dreamcast,2000,SEGA,SEGA AM2 of CRI,Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,,"9,00 €",Surugaya (Shinjuku),nov/2024,"20,00 €","20,00 €",10/4/2025,Probado,
Monaco Grand Prix Racing Simulation 2,Dreamcast,1999,Ubi Soft Entertainment,Ubi Soft Paris,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"7,00 €",Surugaya (Shinjuku),nov/2024,"20,00 €","20,00 €",10/4/2025,Probado,
Power Smash 2,Dreamcast,2001,SEGA,Hitmaker,Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,,"16,00 €",Surugaya (Shinjuku),nov/2024,"30,00 €","30,00 €",10/4/2025,Probado,
Rayman Kaizokusen Kara no Dasshutsu!,Dreamcast,2000,Ubisoft,Ubisoft Montpellier,Japón,,T-17703M,,Completo,TRUE,TRUE,TRUE,7,7,7,8,Registro,Comprado por 5500Y,"31,18 €",Trader (Akihabara),30/oct/2025,"40,00 €","40,00 €",4/11/2025,Probado,
SEGA GT Homologation Special,Dreamcast,2000,SEGA,Sega Software R&D 1,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"20,00 €",Retro Game Valencia,07/abr/2024,"25,00 €","25,00 €",10/4/2025,Probado,
SEGA Rally 2,Dreamcast,1999,SEGA,Sega Software R&D 6,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"6,00 €",Surugaya (Osaka),oct/2024,"30,00 €","30,00 €",10/4/2025,Probado,
Sonic Adventure International,Dreamcast,1999,SEGA,Sonic Team USA,Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,,"20,00 €",Surugaya (Shinjuku),nov/2024,"50,00 €","50,00 €",10/4/2025,Probado,
Space Channel 5,Dreamcast,1999,SEGA,Sega Software R&D 9,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,50 €",Surugaya (Osaka),oct/2024,"30,00 €","30,00 €",10/4/2025,Probado,
Street Fighter Zero 3 - Saikyo-ryu Dojo,Dreamcast,1999,Capcom,Capcom,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,2980Y,"20,00 €",Surugaya (Osaka),oct/2024,"60,00 €","60,00 €",10/4/2025,Probado,
Virtua Fighter 3tb,Dreamcast,1997,SEGA,Genki,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,Disco Project Berkley,Incluye disco de Project Berkley (avance de Shenmue). 880Y,"6,00 €",Surugaya (Shinjuku),nov/2024,"25,00 €","25,00 €",10/4/2025,Probado,
Virtua Striker 2 - Ver.2000.1,Dreamcast,1999,SEGA,"Sega Software R&D 4, Genki",Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Surugaya (Shinjuku),nov/2024,"10,00 €","10,00 €",10/4/2025,Probado,
Final Fantasy I,WonderSwan Color,2000,SquareSoft,SquareSoft,Japón,Edición WonderSwan Color Final Fantasy,,,Completo,TRUE,TRUE,TRUE,,,,,,Incluido en edición de consola WonderSwan Color Final Fantasy I,"0,00 €",Incluido con consola,23/oct/2025,"30,00 €","30,00 €",04/11/2025,Sin Jugar,
DJ: Decks & FX Live Session,PlayStation 2,2004,Sony Computer Entertainment,Relentless Software,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"0,00 €",Original (primo Kike),nov/2019,"5,00 €","5,00 €",10/4/2025,Sin Jugar,
Dragon Quest VIII El Periplo del Rey Maldito,PlayStation 2,2004,Square Enix,Level-5,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"12,00 €",Japan Weekend Madrid,feb/2023,"30,00 €","30,00 €",10/4/2025,Jugado,
El Señor de los Anillos: El Retorno del Rey,PlayStation 2,2003,Electronic Arts,EA Redwood Shores,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"7,00 €",Wallapop,17/ago/2022,"15,00 €","15,00 €",10/4/2025,Completado,
El Señor de los Anillos: La Comunidad del Anillo,PlayStation 2,2002,Vivendi Games,WXP Games,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"15,00 €",Wallapop,22/ago/2022,"30,00 €","30,00 €",10/4/2025,Sin Jugar,
El Señor de los Anillos: La Tercera Edad,PlayStation 2,2004,Electronic Arts,Visceral Games,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"10,00 €",Wallapop,19/ago/2022,"20,00 €","20,00 €",10/4/2025,Completado,
El Señor de los Anillos: La Colección,PlayStation 2,2006,Electronic Arts,"Stormfront Studios, EA Redwood Shores, Visceral Games",España,,,,Completo,TRUE,TRUE,TRUE,,,,,,"Incluye Las Dos Torres, El Retorno del Rey y La Tercera Edad (3 DVD y 3 manuales)","40,00 €",Japan Weekend Madrid,feb/2023,"80,00 €","80,00 €",10/4/2025,Sin Jugar,
El Señor de los Anillos: Las Dos Torres,PlayStation 2,2002,Electronic Arts,Stormfront Studios,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Wallapop,16/ago/2022,"15,00 €","15,00 €",10/4/2025,Completado,
Final Fantasy X,PlayStation 2,2002,Sony Computer Entertainment,Square Enix,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,Restos de pegatinas DVD Bonus y Sony España quitadas en portada,"5,00 €",Wallapop,12/sep/2019,"10,00 €","10,00 €",10/4/2025,Completado,
Final Fantasy X-2,PlayStation 2,2003,Square Enix,Square Enix,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"4,00 €",Wallapop,10/sep/2019,"8,00 €","8,00 €",10/4/2025,Sin Jugar,
Final Fantasy XII,PlayStation 2,2006,Square Enix,Square Enix,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Wallapop,12/sep/2019,"10,00 €","10,00 €",10/4/2025,Jugado,
Gran Turismo 4,PlayStation 2,2005,Sony Computer Entertainment,Polyphony Digital,España,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,,"5,00 €",Game,nov/2019,"7,00 €","7,00 €",10/4/2025,Completado,
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Konami,Kojima Productions,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Game,nov/2019,"20,00 €","20,00 €",10/4/2025,Sin Jugar,
Metal Gear Solid 3: Snake Eater,PlayStation 2,2004,Konami,Kojima Productions,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Game,nov/2019,"20,00 €","20,00 €",10/4/2025,Sin Jugar,
Pro Evolution Soccer 6,PlayStation 2,2006,Konami,Konami,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"0,00 €",Original (primo Kike),nov/2019,"10,00 €","10,00 €",10/4/2025,Jugado,
2 Games in 1: Monstruos S.A. + Buscando a Nemo,Game Boy Advance,2005,THQ,"Traveller's Tales, Vicarious Visions",España,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"0,00 €",Wallapop,16/mar/2018,"5,00 €","5,00 €",10/04/2025,Sin Jugar,
El Rey Leon,Game Boy Advance,2003,THQ,Vicarious Visions,España,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"0,00 €",Wallapop,16/mar/2018,"5,00 €","5,00 €",10/04/2025,Sin Jugar,
Mario Kart Advance,Game Boy Advance,2001,Nintendo,Intelligent Systems,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja con bordes blancos. Comprado por 1900Y,"12,00 €",Surugaya (Shinjuku),nov/2024,"30,00 €","30,00 €",10/04/2025,Sin Jugar,
Fire Emblem: Fuuin no Tsurugi,Game Boy Advance,2002,Nintendo,Intelligent Systems,Japón,,AGB-P-AFEJ(JPN),,Completo,TRUE,TRUE,TRUE,6,4,7,8,Tarjeta limpieza ,Daño importante en caja. Comprado por 4059Y,"22,85 €",Book Off (Kobe),19/oct/2025,"60,00 €","60,00 €",04/11/2025,Sin Jugar,
Fire Emblem: Rekka no Ken,Game Boy Advance,2003,Nintendo ,Intelligent Systems,Japón,,AGB-P-AE7J(JPN),,Completo,TRUE,TRUE,TRUE,7,7,8,8,,Esquinas blancas en caja. Comprado por 4950Y,"27,87 €",Book Off (Kobe),19/oct/2025,"70,00 €","70,00 €",04/11/2025,Sin Jugar,
From TV Animation One Piece: Nanatsu Shima no Daihihou,Game Boy Advance,2002,Banpresto,Cavia,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 1000Y,"6,00 €",Surugaya (Shinjuku),nov/2024,"20,00 €","20,00 €",10/04/2025,Sin Jugar,
Pocket Monsters Emerald,Game Boy Advance,2004,The Pokémon Company,Game Freak,Japón,,AGB-R-BPEJ(JPN),,Completo,TRUE,TRUE,TRUE,8,7,8,9,"Publi, guía braille, mapa, adaptador, limpieza ",Pila desgastada. Incluye adaptador Wireless. Comprado por 12812Y,"72,63 €",Ojamakan (Kobe),19/oct/2025,"150,00 €","150,00 €",04/11/2025,Sin Jugar,
Pocket Monsters Fire Red,Game Boy Advance,2004,The Pokémon Company,Game Freak,Japón,,AGB-P-BPRJ(JPN),,Completo,TRUE,TRUE,TRUE,8,8,8,8,"Publi, guía braille, limpieza ",Versión sin adaptador inalámbrico. Comprado a 8980Y,"50,90 €",Ojamakan (Kobe),19/oct/2025,"110,00 €","110,00 €",04/11/2025,Sin Jugar,
Pokémon Fushigi no Danjon Aka no Kyūjotai,Game Boy Advance,2005,The Pokémon Company,Chunsoft,Japón,,,,Nuevo,TRUE,TRUE,TRUE,,,,,,Bordes blancos. Comprado por 5400Y,"33,00 €",Surugaya (Akihabara),oct/2023,"70,00 €","70,00 €",10/04/2025,Sin Jugar,
Pocket Monsters Leaf Green,Game Boy Advance,2004,The Pokémon Company,Game Freak,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Versión sin adaptador inalámbrico. Comprado a 7470Y,"46,00 €",Surugaya (Yokohama),oct/2023,"120,00 €","120,00 €",10/04/2025,Sin Jugar,
Pocket Monsters Rubi,Game Boy Advance,2002,The Pokémon Company,Game Freak,Japón,,,,Completo,TRUE,TRUE,TRUE,8,8,8,8,"Publi, guía braille, limpieza ",Comprado por 7880Y,,Trader (Akihabara),30/oct/2025,,,04/11/2025,Sin Jugar,
Pocket Monsters Sapphire,Game Boy Advance,2002,The Pokémon Company,Game Freak,Japón,,AGB-P-AXPJ(JPN),,Casi completo,TRUE,TRUE,TRUE,7,5,9,8,"Publi, guía braille, limpieza",Falta caja interior. Comprado por 3984Y. Caja golpeada,"22,58 €",Ojamakan (Kobe),19/oct/2025,"60,00 €","60,00 €",04/11/2025,Sin Jugar,
Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,2003,Nintendo,Nintendo R&D2,España,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"0,00 €",Wallapop,16/mar/2018,"20,00 €","20,00 €",10/04/2025,Sin Jugar,
Super Mario Bros Famicom Mini,Game Boy Advance,2004,Nintendo,Nintendo EAD,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Perteneciente a la Famicom Mini series (18 juegos). Comprado por 1800Y,"11,00 €",Surugaya (Shinjuku),nov/2024,"25,00 €","25,00 €",10/04/2025,Sin Jugar,
Mario Kart Double Dash,Game Cube,2003,Nintendo,Nintendo EAD,Japón,,DOL-P-GM4J(JPN),,Completo,TRUE,TRUE,TRUE,7,7,8,7,,Comprado por 1280Y,"7,13 €",Ojamakan (Nishinomiya),19/oct/2025,"20,00 €","20,00 €",04/11/2025,Sin Jugar,
Pokémon Colosseum,Game Cube,2003,The Pokémon Company,Genius Sonotory,Japón,,DOL-R-GC6J(JPN),,Completo,TRUE,TRUE,TRUE,7,5,9,8,"Memory Card, Publi, pegatinas memory y mantenimiento",Comprado por 3680Y. Incluye memory card. Cartón exterior con motas de humedad,"20,51 €",Ojamakan (Nishinomiya),19/oct/2025,"40,00 €","40,00 €",04/11/2025,Sin Jugar,
Pokémon XD Yami no Kaze - Dark Lugia,Game Cube,2005,The Pokémon Company,Genius Sonotory,Japón,,DOL-P-GXXJ(JPN),,Completo,TRUE,TRUE,TRUE,7,7,9,7,Publi,Comprado por 6286Y. Esta revisión se vendía con un bundle con Game Boy Player Set??,"35,63 €",Ojamakan (Kobe),19/oct/2025,"100,00 €","100,00 €",04/11/2025,Sin Jugar,
Big Brain Academy,Nintendo DS,2005,Nintendo,Nintendo EAD,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,Juego de Ketty,"0,00 €",Ketty,2009,"10,00 €","10,00 €",10/04/2025,Sin Jugar,
Final Fantasy IV,Nintendo DS,2008,Square Enix,Matrix Software,España,,,,Incompleto,TRUE,TRUE,FALSE,,,,N/A,,Juego de Ketty,"0,00 €",Ketty,2009,"20,00 €","20,00 €",10/04/2025,Sin Jugar,
Fire Emblem Shin Ankoku Ryū to Hikari no Tsurugi,Nintendo DS,2008,Nintendo,Intelligent Systems,Japón,,NTR-YFEJ-JPN,,Completo,TRUE,TRUE,TRUE,7,7,7,8,"Publicidad, wifi",Comprado por 2760Y,"15,64 €",Surugaya (Shinjuku),29/oct/2025,"25,00 €","25,00 €",04/11/2025,Sin Jugar,
Fire Emblem Shin Monshou no Nazo,Nintendo DS,2010,Nintendo,Intelligent Systems,Japón,,TSA-TWL-VI2J-JPN,,Completo,TRUE,TRUE,TRUE,8,8,8,8,"Club Nintendo, mantenimiento, wifi",Exclusivo Japón. Comprado por 3164Y,"17,93 €",Bic Camera Outlet (Ikebukuro),28/oct/2025,"50,00 €","50,00 €",04/11/2025,Sin Jugar,
Mario & Luigi RPG 3!!!,Nintendo DS,2009,Nintendo,Alpha Dream,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Mario y Luigi: Viaje al centro de Bowser,"0,00 €",Regalo (Japón),oct/2018,"5,00 €","5,00 €",10/04/2025,Sin Jugar,
Need for Speed Undercover,Nintendo DS,2008,Electronic Arts,Firebrand Games,España,,,,Incompleto,TRUE,TRUE,FALSE,,N/A,N/A,,,Juego de Ketty,"0,00 €",Ketty,2009,"10,00 €","10,00 €",10/04/2025,Sin Jugar,
New Super Mario Bros.,Nintendo DS,2006,Nintendo,Nintendo EAD,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 1000Y. También cartucho suelto (8€),"6,00 €",Bic Camera Outlet (Ikebukuro),nov/2024,"15,00 €","15,00 €",10/04/2025,Sin Jugar,
Nō o Kitaeru Otona no DS Training,Nintendo DS,2005,Nintendo,Nintendo SPD,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Brain Training,"0,00 €",Regalo (Japón),oct/2018,"1,00 €","1,00 €",10/04/2025,Sin Jugar,
