Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
L'Abbaye des Morts,Mega Drive,2017,PlayOnRetro,Locomalito,España,,,,Completo,TRUE,TRUE,TRUE,,,,,Tarjeta dedicatoria,Homebrew. Con tarjeta dedicatoria :),"33,99 €",PlayOnRetro web,14/nov/2017,"80,00 €","80,00 €",09/04/2025,Probado,
Ayrton Senna's Super Monaco GP II,Mega Drive,1992,SEGA,SEGA,Japón,,G-5514,,Completo,TRUE,TRUE,TRUE,8,8,8,9,Publicidad ,Comprado por 636Y,"3,58 €",Surugaya (Osaka),18/oct/2025,"23,00 €","23,00 €",04/11/2025,Sin Jugar,
Bishoujo Senshi Sailor Moon,Mega Drive,1994,Ma-Ba,Arc System Works,Japón,,T-16043,,Completo,TRUE,TRUE,TRUE,8,8,8,9,,Comprado por 20700Y,"116,60 €",Surugaya (Shizuoka),26/oct/2025,"200,00 €","200,00 €",04/11/2025,Sin Jugar,
Castlevania The New Generation,Mega Drive,1994,Konami,Konami,Europa,,,,,FALSE,FALSE,FALSE,,N/A,N/A,N/A,,Reproducción,"29,95 €",Ebay,,,,09/04/2025,Jugado,
Disney's Aladdin,Mega Drive,1993,SEGA,Virgin Games,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,No es primera edición . Muy bien estado,"10,00 €",Feria Retro (Torrejón),01/abr/2017,"40,00 €","40,00 €",09/04/2025,Completado,
Disney's El Rey León,Mega Drive,1994,Virgin Interactive Entert.,Westwood Studios,España,,,,Completo,TRUE,TRUE,TRUE,,,,,,Con pegatina de sellado. Manual con dobleces. Plástico de carátula con daños,"5,49 €",Ebay,22/may/2015,"25,00 €","25,00 €",09/04/2025,Jugado,
Dynamite Headdy,Mega Drive,1994,SEGA,Treasure Co,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Buen estado. Tiene pegatina de sellado,"25,00 €",Feria Retro (Torrejón),01/abr/2017,"50,00 €","50,00 €",09/04/2025,Probado,
Fantasia,Mega Drive,1991,SEGA,Infogrames,Europa,,,,Incompleto,FALSE,TRUE,TRUE,,N/A,,,,Precio completo 50€. Manual sin cubiertas,"0,00 €",Original (primo Kike),ene/1992,"20,00 €","20,00 €",09/04/2025,Jugado,
Fatal Fury,Mega Drive,1993,Takara,"Gai Brain, Aspect",Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Portada con bordes blancos y dobleces,"15,00 €",Feria Retro (Torrejón),01/abr/2017,"35,00 €","35,00 €",09/04/2025,Probado,
FIFA 96,Mega Drive,1995,Electronic Arts,Extended Play Productions,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Manual con dobleces,"0,00 €",Original (regalo Reyes),ene/1996,"15,00 €","15,00 €",09/04/2025,Jugado,
